Timestamp,GPU Index,GPU Name,Utilization %,Memory Used (MiB),Memory Total (MiB)
2025-05-01 00:01:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:01:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:01:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:03:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:03:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:03:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:05:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:05:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:05:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:07:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:07:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:07:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:09:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:09:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:09:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:11:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:11:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:11:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:13:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:13:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:13:00,2, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
2025-05-01 00:15:00,0, NVIDIA RTX 6000 Ada Generation, 0, 280, 49140
2025-05-01 00:15:00,1, NVIDIA RTX 6000 Ada Generation, 0, 12, 49140
